Artist,Song
Víkingur Ólafsson,"Schumann: Study in Canonic Form, Op. 56, No. 1"
Lil Yachty,Poland
LF System,Afraid to Feel
Soccer Mommy,Shotgun
LE SSERAFIM,Antifragile
Flo Milli,Bed Time
Kendrick Lamar,The Heart Part 5
Sudan Archives,Home Maker
Fly Anakin,Love Song (Come Back)
Julius Rodriguez,Dora's Lullaby
Maggie Rogers,That's Where I Am
Rico Nasty,Gotsta Get Paid
Anna Butterss,Doo Wop
Sean Shibe,Peace Piece
Syd feat. Lucky Daye,CYBAH
Ice Spice,Munch (Feelin' U)
Joy Orbison x Overmono feat. ABRA,Blind Date
NxWorries feat. H.E.R.,Where I Go
Joan Shelley feat. Bill Callahan,Amberlit Morning
Doechii,Crazy
Julia Bullock,One by One
Taylor Swift,Anti-Hero
Hikaru Utada,BAD MODE
Koffee,Pull Up
SiR feat. Scribz Riley,Life is Good
Hermanos Gutiérrez,El Bueno y El Malo
Porridge Radio,Back To The Radio
Kevin Morby,This is a Photograph
Makaya McCraven,Dream Another
Ethel Cain,American Teenager
Megan Thee Stallion,Plan B
The Beths,Expert in a Dying Field
Let's Eat Grandma,Happy New Year
Omar Apollo,Tamagotchi
Molly Nilsson,Pompeii
Third Coast Percussion,Derivative
Plains,Abilene
Fireboy DML & Asake,Bandana
Lizzo,About Damn Time
SZA,Shirt
Zach Bryan,Something in the Orange
Fontaines D.C.,Jackie Down the Line
Harry Styles,As It Was
Stromae,L'enfer
Steve Lacy,Bad Habit
Joyce Wrice x KAYTRANADA,Iced Tea
MUNA,What I Want
Paramore,This is Why
Gunna & Future feat. Young Thug,pushin P
ROSALÍA,SAOKO
Alex G,Runner
Bad Bunny,El Apagón
Beyoncé,ALIEN SUPERSTAR
Hitkidd & GloRilla,F.N.F. (Let's Go)
